sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 63]","[82, 84, 58]",mp,0,3,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 54, 64, 63]","[83, 92, 89, 82]",mf,1,4,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 63]","[88, 83, 66]",mf,1,3,0,0,0,0
0.8,['note_on'],[0],[76],[85],mf,1,1,0,0,0,0
0.9,['note_on'],[0],[76],[82],mf,1,1,0,0,0,0
1.0,"['note_on', 'note_on']","[0, 0]","[54, 64]","[87, 93]",f,1,2,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 64, 55]","[68, 79, 79]",mf,0,3,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 64, 55, 61]","[86, 91, 89, 41]",mf,1,4,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 62]","[88, 85, 53]",mf,0,3,0,0,0,0
1.9,"['note_on', 'note_on']","[0, 0]","[69, 67]","[60, 50]",p,0,2,0,0,0,0
2.0,['note_on'],[0],[68],[100],f,1,1,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 61]","[86, 78, 83, 42]",mp,0,4,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[66, 64, 62, 57]","[92, 82, 78, 79]",mf,1,4,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[66, 62, 64, 57]","[94, 80, 78, 79]",mf,1,4,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 62, 57]","[82, 76, 75]",mf,1,3,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 62, 57]","[82, 79, 79]",mf,1,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 62, 57]","[73, 71, 66]",mp,0,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[74, 64, 62, 57]","[85, 80, 79, 71]",mf,1,4,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 62, 57]","[73, 71, 60]",mp,0,3,0,0,0,0
4.1,['note_on'],[0],[71],[79],mf,1,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,60,0
4.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 55, 62]","[99, 92, 73, 64]",mf,1,4,0,0,127,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 62]","[75, 75, 55]",mp,0,3,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 64, 57]","[86, 83, 78]",mf,1,3,0,0,112,0
4.9,['note_on'],[0],[60],[51],p,0,1,0,0,"[90, 65, 42, 18, 1, 0]",0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,"['note_on', 'note_on']","[0, 0]","[64, 57]","[78, 78]",mf,1,2,0,0,0,0
5.2,['note_on'],[0],[76],[69],mp,0,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[75, 64, 57, 60]","[84, 78, 72, 42]",mp,0,4,0,0,0,0
5.5,['note_on'],[0],[76],[65],mp,0,1,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[77, 64, 60, 57]","[85, 79, 64, 64]",mp,0,4,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[76],[79],mf,1,1,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[74, 57, 60, 64]","[86, 71, 62, 76]",mp,0,4,0,0,0,0
6.0,['note_on'],[0],[72],[83],mf,1,1,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 69, 64, 57]","[65, 75, 80, 76]",mp,0,4,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,['note_on'],[0],[69],[68],mp,0,1,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 55, 70, 62]","[91, 73, 49, 69]",mp,0,4,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[68, 64, 63, 55]","[89, 83, 84, 75]",mf,1,4,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[68, 54, 64, 63]","[92, 97, 88, 87]",f,1,4,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 63]","[86, 79, 80]",mf,1,3,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 63]","[88, 83, 84]",mf,1,3,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 63]","[79, 84, 66]",mf,1,3,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[74, 64, 60, 53]","[91, 71, 71, 72]",mf,1,4,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,"[70, 96, 120, 127]",0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 53, 60]","[72, 59, 40]",p,0,3,0,0,104,0
8.5,['note_on'],[0],[71],[76],mf,1,1,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[76, 60, 72, 64, 57]","[97, 83, 83, 86, 73]",mf,1,5,0,0,127,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[57],[79],mf,1,1,0,0,0,0
9.0,"['note_on', 'note_on']","[0, 0]","[72, 67]","[73, 75]",mp,0,2,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,"[76, 46]",0
9.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[74, 52, 72]","[99, 79, 48]",mf,0,3,0,0,"[16, 0]",0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,['note_on'],[0],[48],[93],f,1,1,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,['note_on'],[0],[45],[92],f,1,1,0,0,127,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,114,0
10.0,"['note_on', 'note_on']","[0, 0]","[72, 69]","[88, 78]",mf,1,2,0,0,"[92, 66, 46, 28, 8, 0]",0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,['note_on'],[0],[74],[85],mf,1,1,0,0,0,0
10.3,['note_on'],[0],[71],[59],p,0,1,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,"['note_on', 'note_on']","[0, 0]","[72, 76]","[72, 83]",mf,1,2,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,"['note_on', 'note_on']","[0, 0]","[76, 73]","[76, 69]",mp,0,2,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,"[4, 44, 78, 127]",0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[77, 53, 74, 62, 57, 60]","[66, 56, 55, 60, 54, 58]",p,0,6,0,0,"[0, 12, 34]",0
11.4,[],[],[],[],,0,0,0,0,"[62, 90, 124, 127]",0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on']","[0, 0]","[55, 59]","[66, 64]",mp,0,2,0,0,"[120, 96, 72, 52, 34]",0
12.0,[],[],[],[],,0,0,0,0,"[20, 10, 2, 0]",0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,"['note_on', 'note_on']","[0, 0]","[67, 65]","[78, 68]",mp,0,2,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,['note_on'],[0],[69],[83],mf,1,1,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,"['note_on', 'note_on']","[0, 0]","[71, 67]","[85, 76]",mf,1,2,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 71, 67, 69]","[72, 80, 60, 50]",mp,0,4,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,127,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[71, 74, 57, 52, 55, 48]","[75, 73, 65, 59, 59, 68]",mp,0,6,0,0,"[76, 34, 0]",0
13.6,[],[],[],[],,0,0,0,0,"[12, 72]",0
13.7,[],[],[],[],,0,0,0,0,127,0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,[],[],[],[],,0,0,0,0,0,0
14.1,"['note_on', 'note_on']","[0, 0]","[50, 53]","[64, 72]",mp,0,2,0,0,"[106, 76, 50, 6, 0]",0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,['note_on'],[0],[67],[86],mf,1,1,0,0,0,0
14.4,['note_on'],[0],[64],[68],mp,0,1,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,"['note_on', 'note_on']","[0, 0]","[69, 65]","[80, 78]",mf,1,2,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,0,0
14.9,"['note_on', 'note_on']","[0, 0]","[71, 67]","[86, 69]",mf,1,2,0,0,0,0
15.0,[],[],[],[],,0,0,0,0,0,0
15.1,['note_on'],[0],[72],[86],mf,1,1,0,0,0,0
15.2,[],[],[],[],,0,0,0,0,"[1, 70, 102, 127]",0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,[],[],[],[],,0,0,0,0,0,0
15.5,[],[],[],[],,0,0,0,0,0,0
15.6,['note_on'],[0],[71],[76],mf,1,1,0,0,"[100, 38, 2]",0
15.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[81, 59, 53, 50]","[89, 69, 58, 64]",mp,0,4,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,"[12, 42, 72, 127]",0
15.9,[],[],[],[],,0,0,0,0,0,0
16.0,[],[],[],[],,0,0,0,0,0,0
16.1,['note_on'],[0],[77],[80],mf,1,1,0,0,0,0
16.2,[],[],[],[],,0,0,0,0,"[126, 94, 64, 0]",0
16.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 52, 60, 57]","[89, 71, 68, 65]",mp,0,4,0,0,2,0
16.4,[],[],[],[],,0,0,0,0,127,0
16.5,[],[],[],[],,0,0,0,0,0,0
16.6,[],[],[],[],,0,0,0,0,0,0
16.7,['note_on'],[0],[74],[73],mp,0,1,0,0,0,0
16.8,['note_on'],[0],[72],[72],mp,0,1,0,0,"[44, 0]",0
16.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 56, 52]","[89, 85, 69, 69]",mf,1,4,0,0,32,0
17.0,[],[],[],[],,0,0,0,0,127,0
17.1,[],[],[],[],,0,0,0,0,0,0
17.2,[],[],[],[],,0,0,0,0,0,0
17.3,[],[],[],[],,0,0,0,0,0,0
17.4,"['note_on', 'note_on']","[0, 0]","[75, 64]","[91, 83]",mf,1,2,0,0,0,0
17.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 57, 56, 76]","[76, 72, 43, 83]",mp,0,4,0,0,"[10, 42, 112, 127]",0
17.6,[],[],[],[],,0,0,0,0,0,0
17.7,"['note_on', 'note_on']","[0, 0]","[64, 57]","[71, 58]",mp,0,2,0,0,0,0
17.8,['note_on'],[0],[60],[68],mp,0,1,0,0,0,0
17.9,[],[],[],[],,0,0,0,0,"[12, 0]",0
18.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 57, 60]","[85, 82, 73, 73]",mf,1,4,0,0,0,0
18.1,[],[],[],[],,0,0,0,0,0,0
18.2,[],[],[],[],,0,0,0,0,0,0
18.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[71, 64, 64]",mp,0,3,0,0,0,0
18.4,['note_on'],[0],[76],[71],mp,0,1,0,0,0,0
18.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 60, 57]","[92, 80, 75, 75]",mf,1,4,0,0,0,0
18.6,[],[],[],[],,0,0,0,0,0,0
18.7,[],[],[],[],,0,0,0,0,0,0
18.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[77, 64, 60, 57]","[92, 79, 71, 69]",mf,1,4,0,0,0,0
18.9,['note_on'],[0],[76],[92],f,1,1,0,0,0,0
19.0,['note_on'],[0],[74],[86],mf,1,1,0,0,0,0
19.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 64, 60, 72]","[66, 71, 69, 88]",mp,0,4,0,0,0,0
19.2,[],[],[],[],,0,0,0,0,0,0
19.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 57, 64, 60]","[99, 69, 72, 69]",mf,1,4,0,0,0,0
19.4,['note_on'],[0],[69],[86],mf,1,1,0,0,0,0
19.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 62, 64, 57]","[86, 72, 72, 69]",mp,0,4,0,0,0,0
19.6,['note_on'],[0],[59],[64],mp,0,1,0,0,0,0
19.7,[],[],[],[],,0,0,0,0,0,0
19.8,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 64, 62, 59, 57]","[96, 76, 66, 56, 60]",mp,0,5,0,0,0,0
19.9,[],[],[],[],,0,0,0,0,0,0
20.0,[],[],[],[],,0,0,0,0,0,0
20.1,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 57, 64, 59, 62]","[99, 69, 71, 59, 60]",mp,0,5,0,0,0,0
20.2,[],[],[],[],,0,0,0,0,0,0
20.3,['note_on'],[0],[72],[31],ppp,0,1,0,0,0,0
20.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 62, 59]","[68, 64, 65, 54]",mp,0,4,0,0,0,0
20.5,[],[],[],[],,0,0,0,0,0,0
20.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 59, 57]","[72, 68, 56, 60]",mp,0,4,0,0,0,0
20.7,[],[],[],[],,0,0,0,0,0,0
20.8,[],[],[],[],,0,0,0,0,0,0
20.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 59, 64, 62]","[59, 55, 66, 62]",p,0,4,0,0,0,0
21.0,[],[],[],[],,0,0,0,0,0,0
21.1,['note_on'],[0],[68],[91],f,1,1,0,0,0,0
21.2,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[74, 62, 64, 57, 59]","[95, 76, 76, 69, 53]",mp,0,5,0,0,0,0
21.3,[],[],[],[],,0,0,0,0,0,0
21.4,[],[],[],[],,0,0,0,0,0,0
21.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 64, 57]","[71, 68, 40]",p,0,3,0,0,0,0
21.6,['note_on'],[0],[71],[69],mp,0,1,0,0,0,0
21.7,['note_on'],[0],[64],[85],mf,1,1,0,0,0,0
21.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 76, 55]","[82, 68, 73]",mp,0,3,0,0,"[2, 18, 30, 40, 56, 66, 82, 96]",0
21.9,[],[],[],[],,0,0,0,0,"[108, 116, 118, 116]",0
22.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 61]","[82, 71, 64]",mp,0,3,0,0,"[114, 112, 108, 106, 100, 96, 94, 92]",0
22.1,[],[],[],[],,0,0,0,0,"[90, 88, 82, 76, 68, 60, 50, 34]",0
22.2,[],[],[],[],,0,0,0,0,"[18, 1, 0]",0
22.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 55, 61]","[91, 83, 76, 66]",mf,1,4,0,0,"[14, 42, 92, 118, 127]",0
22.4,[],[],[],[],,0,0,0,0,0,0
22.5,[],[],[],[],,0,0,0,0,0,0
22.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 61, 55]","[78, 58, 62]",mp,0,3,0,0,0,0
22.7,['note_on'],[0],[76],[71],mp,0,1,0,0,"[112, 90, 68, 50]",0
22.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[75, 64, 54, 61]","[86, 86, 87, 69]",mf,1,4,0,0,"[20, 8, 0]",0
22.9,['note_on'],[0],[77],[82],mf,1,1,0,0,0,0
23.0,[],[],[],[],,0,0,0,0,0,0
23.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 54, 61]","[85, 85, 84, 61]",mf,1,4,0,0,0,0
23.2,['note_on'],[0],[74],[88],f,1,1,0,0,0,0
23.3,"['note_on', 'note_on']","[0, 0]","[72, 64]","[91, 88]",f,1,2,0,0,0,0
23.4,"['note_on', 'note_on']","[0, 0]","[54, 61]","[84, 64]",mp,0,2,0,0,0,0
23.5,['note_on'],[0],[71],[93],f,1,1,0,0,0,0
23.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 54, 64, 61]","[85, 71, 75, 59]",mp,0,4,0,0,0,0
23.7,['note_on'],[0],[67],[88],f,1,1,0,0,0,0
23.8,[],[],[],[],,0,0,0,0,0,0
23.9,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[72, 64, 55, 58, 60]","[99, 83, 75, 63, 71]",mf,1,5,0,0,0,0
24.0,[],[],[],[],,0,0,0,0,"[12, 38, 88, 110, 127]",0
24.1,[],[],[],[],,0,0,0,0,0,0
24.2,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[70, 64, 55, 58, 60]","[96, 82, 76, 58, 59]",mp,0,5,0,0,114,0
24.3,[],[],[],[],,0,0,0,0,"[94, 76, 60, 42, 28, 10, 0]",0
24.4,[],[],[],[],,0,0,0,0,0,0
24.5,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 70, 55, 60, 58]","[92, 100, 78, 69, 42]",mf,1,5,0,0,"[12, 80]",0
24.6,[],[],[],[],,0,0,0,0,"[112, 127]",0
24.7,['note_on'],[0],[64],[85],mf,1,1,0,0,0,0
24.8,"['note_on', 'note_on']","[0, 0]","[55, 60]","[71, 59]",mp,0,2,0,0,0,0
24.9,[],[],[],[],,0,0,0,0,0,0
25.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 60]","[89, 72, 60]",mp,0,3,0,0,0,0
25.1,[],[],[],[],,0,0,0,0,0,0
25.2,[],[],[],[],,0,0,0,0,"[124, 116, 108]",0
25.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 60]","[85, 73, 60]",mp,0,3,0,0,"[98, 92, 82, 74, 66, 58, 50, 42, 36, 28]",0
25.4,['note_on'],[0],[76],[86],mf,1,1,0,0,"[18, 8, 0]",0
25.5,"['note_on', 'note_on']","[0, 0]","[79, 64]","[100, 86]",f,1,2,0,0,0,0
25.6,"['note_on', 'note_on']","[0, 0]","[60, 55]","[68, 71]",mp,0,2,0,0,0,0
25.7,[],[],[],[],,0,0,0,0,0,0
25.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 60]","[72, 68, 64]",mp,0,3,0,0,0,0
25.9,['note_on'],[0],[82],[86],mf,1,1,0,0,0,0
26.0,[],[],[],[],,0,0,0,0,0,0
26.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[82, 65, 53, 60]","[92, 83, 82, 73]",mf,1,4,0,0,"[4, 127]",0
26.2,[],[],[],[],,0,0,0,0,0,0
26.3,"['note_on', 'note_on']","[0, 0]","[53, 65]","[72, 80]",mf,1,2,0,0,0,0
26.4,"['note_on', 'note_on']","[0, 0]","[60, 81]","[65, 85]",mf,0,2,0,0,0,0
26.5,[],[],[],[],,0,0,0,0,0,0
26.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[77, 53, 57, 60]","[88, 69, 71, 71]",mp,0,4,0,0,0,0
26.7,[],[],[],[],,0,0,0,0,0,0
26.8,[],[],[],[],,0,0,0,0,0,0
26.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[74, 57, 53, 60]","[92, 75, 68, 79]",mf,1,4,0,0,0,0
27.0,[],[],[],[],,0,0,0,0,0,0
27.1,[],[],[],[],,0,0,0,0,0,0
27.2,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[72, 74, 57, 52, 55]","[71, 83, 88, 78, 68]",mf,1,5,0,0,0,0
27.3,[],[],[],[],,0,0,0,0,0,0
27.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 71, 52]","[88, 89, 79]",mf,1,3,0,0,0,0
27.5,[],[],[],[],,0,0,0,0,0,0
27.6,[],[],[],[],,0,0,0,0,0,0
27.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[52, 61, 72, 74, 57]","[71, 88, 82, 85, 64]",mf,1,5,0,0,0,0
27.8,[],[],[],[],,0,0,0,0,0,0
27.9,[],[],[],[],,0,0,0,0,0,0
28.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[79, 61, 52, 57]","[92, 87, 71, 56]",mf,1,4,0,0,0,0
28.1,[],[],[],[],,0,0,0,0,0,0
28.2,[],[],[],[],,0,0,0,0,0,0
28.3,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[62, 79, 81, 50, 57, 60]","[91, 82, 91, 78, 66, 53]",mf,1,6,0,0,0,0
28.4,[],[],[],[],,0,0,0,0,0,0
28.5,[],[],[],[],,0,0,0,0,0,0
28.6,['note_on'],[0],[78],[92],f,1,1,0,0,0,0
28.7,[],[],[],[],,0,0,0,0,0,0
28.8,['note_on'],[0],[55],[83],mf,1,1,0,0,0,0
28.9,['note_on'],[0],[47],[78],mf,1,1,0,0,0,0
29.0,[],[],[],[],,0,0,0,0,0,0
29.1,['note_on'],[0],[77],[78],mf,1,1,0,0,0,0
29.2,[],[],[],[],,0,0,0,0,0,0
29.3,[],[],[],[],,0,0,0,0,0,0
29.4,"['note_on', 'note_on']","[0, 0]","[55, 48]","[69, 69]",mp,0,2,0,0,0,0
29.5,[],[],[],[],,0,0,0,0,0,0
29.6,['note_on'],[0],[71],[78],mf,1,1,0,0,0,0
29.7,[],[],[],[],,0,0,0,0,0,0
29.8,[],[],[],[],,0,0,0,0,0,0
29.9,"['note_on', 'note_on']","[0, 0]","[62, 59]","[76, 69]",mp,0,2,0,0,0,0
30.0,[],[],[],[],,0,0,0,0,0,0
30.1,[],[],[],[],,0,0,0,0,0,0
30.2,['note_on'],[0],[72],[73],mp,0,1,0,0,0,0
30.3,[],[],[],[],,0,0,0,0,0,0
30.4,['note_on'],[0],[53],[59],p,0,1,0,0,0,0
30.5,"['note_on', 'note_on']","[0, 0]","[72, 71]","[59, 53]",p,0,2,0,0,0,0
30.6,[],[],[],[],,0,0,0,0,0,0
30.7,['note_on'],[0],[57],[60],p,0,1,0,0,0,0
30.8,[],[],[],[],,0,0,0,0,0,0
30.9,[],[],[],[],,0,0,0,0,0,0
31.0,"['note_on', 'note_on']","[0, 0]","[53, 71]","[51, 62]",p,0,2,0,0,0,0
31.1,[],[],[],[],,0,0,0,0,0,0
31.2,[],[],[],[],,0,0,0,0,"[42, 62, 78, 90]",0
31.3,['note_on'],[0],[57],[55],p,0,1,0,0,"[96, 98, 100, 102, 106, 110, 114, 120, 126, 127]",0
31.4,[],[],[],[],,0,0,0,0,0,0
31.5,[],[],[],[],,0,0,0,0,0,0
31.6,['note_on'],[0],[53],[53],p,0,1,0,0,0,0
31.7,[],[],[],[],,0,0,0,0,124,0
31.8,"['note_on', 'note_on']","[0, 0]","[76, 57]","[71, 55]",mp,0,2,0,0,"[114, 102, 90, 78, 65, 54, 44, 36, 32]",0
31.9,['note_on'],[0],[74],[85],mf,1,1,0,0,"[28, 26, 20, 16, 8, 2, 0]",0
32.0,[],[],[],[],,0,0,0,0,0,0
32.1,"['note_on', 'note_on']","[0, 0]","[74, 54]","[86, 61]",mp,0,2,0,0,20,0
