segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,8,8,8,7,8,7,8,7,8,7,9,1,8
1,8,8,9,9,8,7,8,8,8,8,9,1,8
2,9,8,7,7,7,7,7,6,7,7,9,0,8
3,8,7,8,7,8,7,8,7,9,7,9,1,8
4,9,7,7,7,7,7,7,7,7,6,9,0,8
5,8,7,7,7,7,7,7,8,8,7,9,1,9
6,7,8,7,7,6,7,7,7,7,6,9,1,9
7,8,7,8,8,6,6,7,6,6,7,9,0,9
8,9,7,7,7,7,6,7,7,7,6,9,1,8
9,7,8,8,7,7,6,7,6,6,7,9,0,9
10,9,7,7,7,7,7,7,7,7,6,9,1,9
11,8,8,7,7,7,7,7,8,8,7,9,0,9
12,9,9,7,8,7,7,7,7,7,7,9,1,9
13,8,8,7,7,7,7,7,7,7,7,9,1,9
14,9,9,7,7,7,7,7,7,7,7,9,1,8
15,8,8,7,7,7,7,6,7,6,7,9,1,9
16,8,9,7,7,6,7,8,7,7,6,9,1,8
17,9,8,7,7,7,7,7,8,7,7,9,1,9
