sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,100,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on']","[0, 0]","[57, 81]","[65, 86]",mf,0,2,0,0,0,0
0.9,['note_on'],[0],[69],[66],mp,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 52, 64]","[95, 61, 68]",mp,0,3,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,"[44, 58, 66, 70, 74]",0
1.3,[],[],[],[],,0,0,0,0,"[76, 78, 84, 90, 98, 104, 110]",0
1.4,[],[],[],[],,0,0,0,0,"[116, 120, 114, 104, 86, 26]",0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,"[8, 22, 26]",0
1.8,[],[],[],[],,0,0,0,0,"[22, 2, 0]",0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,"['note_on', 'note_on']","[0, 0]","[64, 52]","[47, 43]",pp,0,2,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[50, 62, 49]","[55, 58, 44]",p,0,3,0,0,0,0
2.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 59, 47]","[61, 53, 40]",p,0,3,0,0,0,0
2.3,"['note_on', 'note_on']","[0, 0]","[57, 45]","[61, 50]",p,0,2,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,"[6, 18, 26, 30, 32]",0
2.7,[],[],[],[],,0,0,0,0,"[30, 28, 24, 14, 0]",0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[69, 81, 57]","[73, 83, 60]",mp,0,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[78, 66, 54]","[79, 73, 62]",mp,0,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,"[72, 127]",0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,"[46, 0]",0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
