sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on']","[0, 0]","[64, 62]","[49, 41]",pp,0,2,127,0,"[100, 108, 116, 122, 127]",62
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,['note_on'],[0],[72],[71],mp,0,1,0,0,0,0
0.5,['note_on'],[0],[76],[95],f,1,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,['note_on'],[0],[72],[69],mp,0,1,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,['note_on'],[0],[76],[75],mf,0,1,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,['note_on'],[0],[60],[73],mp,0,1,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,['note_on'],[0],[62],[62],mp,0,1,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[67],[71],mp,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[72],[61],p,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[77],[100],f,1,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[72],[55],p,0,1,0,0,0,0
2.5,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,['note_on'],[0],[72],[62],mp,0,1,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[77],[59],p,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[60],[100],f,1,1,0,0,"[116, 96, 76, 20, 0]",0
3.1,['note_on'],[0],[62],[63],mp,0,1,0,0,"[2, 10, 16, 24, 28, 32, 38]",0
3.2,[],[],[],[],,0,0,0,0,"[42, 46, 48, 52, 56, 58, 64, 66, 70, 76]",0
3.3,['note_on'],[0],[67],[62],mp,0,1,0,0,"[80, 86, 92, 96, 100, 106, 110, 116, 120, 126, 127]",0
3.4,['note_on'],[0],[71],[65],mp,0,1,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,['note_on'],[0],[77],[89],f,1,1,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[69],[61],p,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[71],[69],mp,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[77],[71],mp,0,1,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[60],[63],mp,0,1,0,0,"[114, 96, 78, 58, 30]",0
4.8,[],[],[],[],,0,0,0,0,"[2, 0]",0
4.9,['note_on'],[0],[62],[61],p,0,1,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,['note_on'],[0],[69],[58],p,0,1,0,0,"[4, 10, 18, 24, 28, 34, 42, 48, 52]",0
5.2,[],[],[],[],,0,0,0,0,"[58, 64, 68, 74, 80, 84, 90, 96, 100, 106]",0
5.2,['note_on'],[0],[74],[62],mp,0,1,0,0,"[112, 116, 120, 126, 127]",0
5.3,['note_on'],[0],[77],[95],f,1,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[69],[73],mp,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[71],[71],mp,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,['note_on'],[0],[74],[57],p,0,1,0,0,0,0
6.0,['note_on'],[0],[59],[59],p,0,1,0,0,"[122, 106, 88, 66, 42, 0]",0
6.1,['note_on'],[0],[62],[54],p,0,1,0,0,0,0
6.4,['note_on'],[0],[67],[57],p,0,1,0,0,"[2, 8, 18, 26]",0
6.5,[],[],[],[],,0,0,0,0,"[34, 42]",0
6.7,[],[],[],[],,0,0,0,0,"[48, 52, 58]",0
6.8,['note_on'],[0],[73],[80],mf,1,1,0,0,"[62, 65, 66, 70, 72, 74, 76, 78, 80]",0
6.7,[],[],[],[],,0,0,0,0,"[82, 84, 88, 92, 94, 96, 98, 102, 106]",0
6.8,['note_on'],[0],[79],[67],mp,0,1,0,0,"[110, 116, 120, 126, 127]",0
6.9,['note_on'],[0],[67],[61],p,0,1,0,0,0,0
7.1,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,['note_on'],[0],[79],[82],mf,1,1,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,['note_on'],[0],[59],[75],mf,0,1,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,['note_on'],[0],[62],[59],p,0,1,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
8.4,"['note_on', 'note_on']","[0, 0]","[74, 79]","[58, 91]",mp,0,2,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[67],[45],pp,0,1,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,['note_on'],[0],[79],[82],mf,1,1,0,0,0,0
9.4,['note_on'],[0],[60],[63],mp,0,1,0,0,"[114, 98, 80, 60, 4, 0]",0
9.6,['note_on'],[0],[64],[61],p,0,1,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,"[1, 10, 20, 28]",0
9.8,['note_on'],[0],[67],[48],pp,0,1,0,0,"[34, 40, 44, 48, 52, 56, 60, 64, 66, 72]",0
9.9,[],[],[],[],,0,0,0,0,"[74, 80, 84, 90, 96, 100, 104, 112, 118, 126]",0
10.0,['note_on'],[0],[72],[58],p,0,1,0,0,127,0
9.9,"['note_on', 'note_on']","[0, 0]","[77, 76]","[55, 59]",p,0,2,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.4,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,['note_on'],[0],[72],[67],mp,0,1,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,['note_on'],[0],[76],[73],mp,0,1,0,0,0,0
11.0,['note_on'],[0],[60],[67],mp,0,1,0,0,"[108, 86, 24, 0]",0
11.2,['note_on'],[0],[64],[59],p,0,1,0,0,"[2, 30, 44, 50, 56]",0
11.3,['note_on'],[0],[67],[63],mp,0,1,0,0,"[58, 60, 62, 64, 65]",0
11.4,[],[],[],[],,0,0,0,0,"[66, 68, 72, 74, 80, 84, 90, 96, 102, 108]",0
11.5,['note_on'],[0],[72],[62],mp,0,1,0,0,"[114, 120, 126, 127]",0
11.5,['note_on'],[0],[76],[84],mf,1,1,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
12.0,['note_on'],[0],[72],[53],p,0,1,0,0,0,0
12.1,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,['note_on'],[0],[72],[52],p,0,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,106,0
12.5,['note_on'],[0],[60],[71],mp,0,1,0,0,"[80, 0]",0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,"[2, 18, 30, 44, 54, 64, 68, 74]",0
13.1,[],[],[],[],,0,0,0,0,"[76, 78, 80]",0
13.2,['note_on'],[0],[69],[55],p,0,1,0,0,"[82, 84, 88, 90, 94, 96, 98]",0
13.3,['note_on'],[0],[76],[59],p,0,1,0,0,"[102, 104, 108, 110, 114, 116, 118, 120, 122, 124]",0
13.2,['note_on'],[0],[81],[71],mp,0,1,0,0,"[126, 127]",0
13.0,['note_on'],[0],[69],[62],mp,0,1,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,['note_on'],[0],[76],[69],mp,0,1,0,0,0,0
13.6,['note_on'],[0],[81],[78],mf,1,1,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,0,0
13.8,['note_on'],[0],[60],[63],mp,0,1,0,0,"[120, 104, 82, 58]",0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,['note_on'],[0],[64],[57],p,0,1,0,0,"[2, 14]",0
14.3,[],[],[],[],,0,0,0,0,0,0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,"[24, 30, 40, 46, 50]",0
14.6,['note_on'],[0],[69],[54],p,0,1,0,0,"[54, 58, 60, 62, 64, 65, 66, 68]",0
14.7,[],[],[],[],,0,0,0,0,"[72, 74, 78, 82, 86, 90, 96, 98, 100, 104]",0
14.8,['note_on'],[0],[76],[59],p,0,1,0,0,"[108, 112, 114, 118, 120, 122, 126]",0
14.9,[],[],[],[],,0,0,0,0,127,0
14.5,"['note_on', 'note_on']","[0, 0]","[81, 69]","[89, 55]",mp,0,2,0,0,0,0
14.6,['note_on'],[0],[76],[69],mp,0,1,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
15.0,['note_on'],[0],[81],[67],mp,0,1,0,0,0,0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,['note_on'],[0],[60],[62],mp,0,1,0,0,"[126, 116, 104, 90]",0
15.3,[],[],[],[],,0,0,0,0,"[70, 0]",0
15.7,[],[],[],[],,0,0,0,0,0,0
15.8,['note_on'],[0],[62],[62],mp,0,1,0,0,0,0
15.9,[],[],[],[],,0,0,0,0,"[1, 8, 14]",0
15.6,['note_on'],[0],[66],[53],p,0,1,0,0,"[20, 28, 34, 40, 44, 48, 52, 58, 60, 64, 65, 70]",0
15.7,[],[],[],[],,0,0,0,0,"[74, 78, 84, 88, 94, 96, 100, 102, 104, 108]",0
15.8,['note_on'],[0],[69],[45],pp,0,1,0,0,"[110, 112, 116, 118, 120, 122, 124, 126]",0
15.9,[],[],[],[],,0,0,0,0,127,0
16.0,['note_on'],[0],[74],[75],mf,0,1,0,0,0,0
16.1,[],[],[],[],,0,0,0,0,0,0
16.0,"['note_on', 'note_on']","[0, 0]","[66, 69]","[80, 58]",mp,0,2,0,0,0,0
16.1,[],[],[],[],,0,0,0,0,0,0
16.5,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
16.6,[],[],[],[],,0,0,0,0,0,0
16.7,['note_on'],[0],[62],[71],mp,0,1,0,0,0,0
16.9,['note_on'],[0],[66],[78],mf,1,1,0,0,0,0
17.2,[],[],[],[],,0,0,0,0,0,0
17.3,[],[],[],[],,0,0,0,0,0,0
17.4,[],[],[],[],,0,0,0,0,0,0
17.5,[],[],[],[],,0,0,0,0,0,0
17.6,[],[],[],[],,0,0,0,0,0,0
17.7,['note_on'],[0],[69],[53],p,0,1,0,0,0,0
17.8,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
17.9,[],[],[],[],,0,0,0,0,0,0
18.0,['note_on'],[0],[78],[85],mf,1,1,0,0,0,0
18.1,[],[],[],[],,0,0,0,0,0,0
18.2,['note_on'],[0],[66],[59],p,0,1,0,0,0,0
18.3,[],[],[],[],,0,0,0,0,0,0
17.8,['note_on'],[0],[74],[57],p,0,1,0,0,0,0
17.9,[],[],[],[],,0,0,0,0,0,0
18.0,['note_on'],[0],[78],[73],mp,0,1,0,0,0,0
18.1,[],[],[],[],,0,0,0,0,0,0
18.2,['note_on'],[0],[59],[62],mp,0,1,0,0,"[118, 100, 80, 28, 0]",0
18.4,['note_on'],[0],[62],[52],p,0,1,0,0,6,0
19.0,[],[],[],[],,0,0,0,0,0,0
19.1,[],[],[],[],,0,0,0,0,0,0
19.2,[],[],[],[],,0,0,0,0,0,0
19.3,[],[],[],[],,0,0,0,0,0,0
19.4,[],[],[],[],,0,0,0,0,0,0
19.5,[],[],[],[],,0,0,0,0,0,0
19.6,[],[],[],[],,0,0,0,0,"[20, 28, 36, 44, 48, 52, 56, 58, 62, 64]",0
19.7,['note_on'],[0],[67],[69],mp,0,1,0,0,"[65, 66, 68, 70, 72]",0
19.1,[],[],[],[],,0,0,0,0,"[74, 76, 80, 82, 84, 88]",0
19.2,['note_on'],[0],[74],[67],mp,0,1,0,0,"[94, 96, 100, 104, 108, 112, 118, 120, 126, 127]",0
19.4,['note_on'],[0],[79],[97],f,1,1,0,0,0,0
19.6,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
19.2,"['note_on', 'note_on']","[0, 0]","[74, 79]","[71, 78]",mp,0,2,0,0,0,0
19.6,['note_on'],[0],[59],[53],p,0,1,0,0,0,0
19.8,['note_on'],[0],[60],[54],p,0,1,0,0,0,0
20.5,[],[],[],[],,0,0,0,0,0,0
20.6,[],[],[],[],,0,0,0,0,0,0
20.7,[],[],[],[],,0,0,0,0,0,0
20.8,['note_on'],[0],[69],[71],mp,0,1,0,0,0,0
20.7,[],[],[],[],,0,0,0,0,0,0
20.8,['note_on'],[0],[74],[63],mp,0,1,0,0,0,0
20.9,[],[],[],[],,0,0,0,0,0,0
21.0,"['note_on', 'note_on']","[0, 0]","[81, 79]","[46, 48]",pp,0,2,0,0,0,0
21.1,[],[],[],[],,0,0,0,0,0,0
20.7,"['note_on', 'note_on']","[0, 0]","[69, 74]","[59, 73]",mp,0,2,0,0,0,0
20.8,['note_on'],[0],[79],[62],mp,0,1,0,0,0,0
20.9,[],[],[],[],,0,0,0,0,0,0
21.0,['note_on'],[0],[59],[52],p,0,1,0,0,"[118, 106, 90, 70, 0]",0
21.1,['note_on'],[0],[60],[45],pp,0,1,0,0,0,0
21.3,['note_on'],[0],[64],[50],p,0,1,0,0,"[34, 56, 72]",0
21.4,[],[],[],[],,0,0,0,0,"[88, 102, 112]",0
22.1,[],[],[],[],,0,0,0,0,0,0
22.2,[],[],[],[],,0,0,0,0,0,0
22.3,[],[],[],[],,0,0,0,0,0,0
22.4,[],[],[],[],,0,0,0,0,0,0
22.5,[],[],[],[],,0,0,0,0,0,0
22.6,[],[],[],[],,0,0,0,0,0,0
22.7,[],[],[],[],,0,0,0,0,0,0
22.8,[],[],[],[],,0,0,0,0,0,0
22.9,[],[],[],[],,0,0,0,0,"[124, 127]",0
22.5,"['note_on', 'note_on']","[0, 0]","[67, 72]","[69, 86]",mf,1,2,0,0,0,0
22.7,[],[],[],[],,0,0,0,0,0,0
22.8,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
22.9,['note_on'],[0],[64],[67],mp,0,1,0,0,0,0
23.1,['note_on'],[0],[67],[73],mp,0,1,0,0,0,0
22.4,['note_on'],[0],[57],[65],mp,0,1,0,0,"[124, 110, 94, 72, 0]",0
22.6,['note_on'],[0],[60],[55],p,0,1,0,0,16,0
22.7,[],[],[],[],,0,0,0,0,"[28, 42, 52, 60, 66, 72, 78, 86, 88, 92]",0
22.8,['note_on'],[0],[64],[61],p,0,1,0,0,"[96, 98, 100, 102, 104, 106, 108, 110, 112]",0
22.9,[],[],[],[],,0,0,0,0,"[114, 116, 120, 124, 126, 127]",0
24.0,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
24.1,[],[],[],[],,0,0,0,0,0,0
23.5,['note_on'],[0],[72],[93],f,1,1,0,0,0,0
23.7,['note_on'],[0],[67],[71],mp,0,1,0,0,0,0
23.8,[],[],[],[],,0,0,0,0,0,0
23.9,['note_on'],[0],[64],[58],p,0,1,0,0,0,0
24.0,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
23.9,[],[],[],[],,0,0,0,0,"[126, 114, 96, 78]",0
24.0,['note_on'],[0],[57],[65],mp,0,1,0,0,0,0
