segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,9,9,9,9,9,9,10,10,10,10,10,9,7
1,9,9,9,9,9,9,10,10,10,10,10,9,8
2,9,9,9,9,9,9,10,10,10,10,10,9,8
3,9,9,9,9,9,9,10,10,10,10,10,9,9
4,9,9,9,9,9,9,10,10,10,10,10,9,8
5,9,9,9,9,9,9,10,10,10,10,10,9,8
6,9,9,9,9,9,9,10,10,10,10,10,9,8
7,8,9,9,9,9,9,10,10,10,10,10,9,9
8,9,9,9,9,9,9,10,10,10,10,9,9,9
9,8,9,9,9,9,9,10,10,10,10,9,8,8
10,9,9,9,9,9,9,10,10,10,10,10,9,9
11,9,9,9,9,9,9,10,10,10,10,10,9,9
12,9,9,9,9,9,9,10,10,9,9,10,9,9
13,9,9,9,9,9,9,10,10,10,10,10,9,9
14,9,9,9,9,9,9,10,10,10,10,10,9,9
15,9,9,9,9,9,9,10,10,10,10,10,9,9
16,9,9,9,9,9,9,10,10,10,10,10,9,9
17,9,9,9,9,9,9,10,10,10,9,10,9,9
