chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,99.5,87.0,97.27,92.0,95.2
1,95.5,84.0,82.05,84.0,90.4
2,97.5,84.0,77.82,88.0,92.8
3,98.5,81.0,81.08,88.0,91.6
4,99.0,90.0,78.48,80.0,92.8
5,99.0,91.0,78.52,96.0,91.6
6,99.0,75.0,77.85,80.0,92.8
7,98.5,63.0,86.53,28.0,91.6
8,98.0,64.0,75.29,12.0,91.6
9,97.5,86.0,73.59,84.0,91.6
10,99.5,85.0,91.7,72.0,91.6
11,96.5,90.0,72.06,88.0,92.8
12,98.0,89.0,72.07,68.0,92.8
13,96.0,65.0,79.41,16.0,92.8
14,95.5,85.0,82.82,46.0,91.6
15,98.5,81.0,89.38,64.0,92.8
16,96.5,93.0,73.96,88.0,91.6
17,91.88,92.0,77.72,70.0,95.2
